n,edgeList,queries
,"[74, 75, 634]","[57857, 95333, 1]"
,"[75, 76, 907]","[3391, 96656, 1]"
,"[76, 77, 883]","[56460, 60182, 1]"
,"[77, 78, 371]","[85114, 5895, 1]"
,"[78, 79, 592]","[33350, 94256, 1]"
,"[79, 80, 197]","[32017, 1443, 1]"
,"[80, 81, 722]","[21043, 35788, 1]"
,"[81, 82, 72]","[14325, 80740, 1]"
,"[82, 83, 47]","[28230, 45660, 1]"
,"[83, 84, 678]","[4103, 65996, 1]"
,"[84, 85, 234]","[92450, 1747, 1]"
,"[85, 86, 792]","[48626, 34952, 1]"
,"[86, 87, 297]","[22934, 26849, 1]"
,"[87, 88, 82]","[28911, 45866, 1]"
,"[88, 89, 876]","[65517, 37155, 1]"
,"[89, 90, 239]","[9804, 46665, 1]"
,"[90, 91, 888]","[15855, 72084, 1]"
,"[91, 92, 104]","[99425, 16123, 1]"
,"[92, 93, 390]","[98322, 30779, 1]"
,"[93, 94, 285]","[32810, 23185, 1]"
,"[94, 95, 465]","[89799, 71067, 1]"
,"[95, 96, 651]","[83746, 67383, 1]"
,"[96, 97, 855]","[14727, 47487, 1]"
,"[97, 98, 374]","[10989, 86260, 1]"
,"[98, 99, 167]","[36615, 57881, 1]"
,"[99, 100, 380]","[96189, 31588, 1]"
,"[100, 101, 364]","[74337, 96381, 1]"
,"[101, 102, 215]","[75399, 1221, 1]"
,"[102, 103, 687]","[42705, 29311, 1]"
,"[103, 104, 274]","[60858, 76024, 1]"
,"[104, 105, 719]","[85584, 93860, 1]"
,"[105, 106, 960]","[83295, 75851, 1]"
,"[106, 107, 700]","[74617, 13853, 1]"
,"[107, 108, 664]","[94137, 45310, 1]"
,"[108, 109, 74]","[86322, 43883, 1]"
,"[109, 110, 624]","[64812, 19595, 1]"
,"[110, 111, 651]","[72375, 93848, 1]"
,"[111, 112, 176]","[63305, 50711, 1]"
,"[112, 113, 547]","[72106, 39608, 1]"
,"[113, 114, 747]","[84984, 13036, 1]"
,"[114, 115, 251]","[68395, 99186, 1]"
,"[115, 116, 168]","[13412, 55547, 1]"
,"[116, 117, 474]","[16700, 94901, 1]"
,"[117, 118, 389]","[72780, 24535, 1]"
,"[118, 119, 277]","[50840, 15085, 1]"
,"[119, 120, 948]","[92351, 26054, 1]"
,"[120, 121, 656]","[51631, 18686, 1]"
,"[121, 122, 705]","[34128, 30663, 1]"
,"[122, 123, 571]","[82951, 38268, 1]"
,"[123, 124, 225]","[86966, 15530, 1]"
,"[124, 125, 702]","[75398, 11095, 1]"
,"[125, 126, 333]","[60704, 87895, 1]"
,"[126, 127, 864]","[81936, 26097, 1]"
,"[127, 128, 787]","[92066, 75228, 1]"
,"[128, 129, 795]","[41892, 74042, 1]"
,"[129, 130, 58]","[30017, 19907, 1]"
,"[130, 131, 235]","[77695, 47248, 1]"
,"[131, 132, 842]","[40051, 34910, 1]"
,"[132, 133, 33]","[95060, 96418, 1]"
,"[133, 134, 825]","[3704, 43914, 1]"
,"[134, 135, 324]","[95467, 41921, 1]"
,"[135, 136, 411]","[35133, 82818, 1]"
,"[136, 137, 275]","[50575, 30983, 1]"
,"[137, 138, 68]","[89918, 18367, 1]"
,"[138, 139, 217]","[11373, 72584, 1]"
,"[139, 140, 936]","[23873, 58140, 1]"
,"[140, 141, 966]","[2712, 1289, 1]"
,"[141, 142, 581]","[98454, 51213, 1]"
,"[142, 143, 898]","[97452, 18220, 1]"
,"[143, 144, 736]","[56266, 72572, 1]"
,"[144, 145, 323]","[55261, 12419, 1]"
,"[145, 146, 218]","[5627, 73167, 1]"
,"[146, 147, 672]","[39231, 38946, 1]"
,"[147, 148, 512]","[61858, 54886, 1]"
,"[148, 149, 406]","[4980, 83829, 1]"
,"[149, 150, 906]","[64000, 64601, 1]"
,"[150, 151, 937]","[78808, 66676, 1]"
,"[151, 152, 659]","[76527, 69082, 1]"
,"[152, 153, 470]","[73772, 50511, 1]"
,"[153, 154, 147]","[89696, 20610, 1]"
,"[154, 155, 272]","[68238, 54208, 1]"
,"[155, 156, 143]","[65316, 38204, 1]"
,"[156, 157, 253]","[28601, 30353, 1]"
,"[157, 158, 763]","[25952, 93612, 1]"
,"[158, 159, 575]","[81102, 84238, 1]"
,"[159, 160, 552]","[72424, 97324, 1]"
,"[160, 161, 270]","[79270, 68246, 1]"
,"[161, 162, 765]","[44942, 20359, 1]"
,"[162, 163, 599]","[41983, 99396, 1]"
,"[163, 164, 439]","[72888, 67078, 1]"
,"[164, 165, 920]","[7662, 40218, 1]"
,"[165, 166, 598]","[74779, 85977, 1]"
,"[166, 167, 409]","[52221, 90631, 1]"
,"[167, 168, 371]","[21187, 46683, 1]"
,"[168, 169, 225]","[21852, 46470, 1]"
,"[169, 170, 142]","[94882, 42175, 1]"
,"[170, 171, 522]","[72997, 3845, 1]"
,"[171, 172, 506]","[32426, 92264, 1]"
,"[172, 173, 94]","[14817, 42907, 1]"
,"[173, 174, 774]","[28945, 79180, 1]"
,"[174, 175, 49]","[97874, 43925, 1]"
,"[175, 176, 882]","[28219, 8488, 1]"
,"[176, 177, 113]","[95471, 25500, 1]"
,"[177, 178, 157]","[9675, 27799, 1]"
,"[178, 179, 643]","[46671, 17006, 1]"
,"[179, 180, 164]","[8741, 39670, 1]"
,"[180, 181, 812]","[94795, 66364, 1]"
,"[181, 182, 697]","[43774, 86754, 1]"
,"[182, 183, 433]","[63394, 44397, 1]"
,"[183, 184, 611]","[9954, 58990, 1]"
,"[184, 185, 66]","[35056, 30768, 1]"
,"[185, 186, 395]","[8337, 79488, 1]"
,"[186, 187, 391]","[24302, 82600, 1]"
,"[187, 188, 611]","[53818, 16895, 1]"
,"[188, 189, 480]","[10296, 77027, 1]"
,"[189, 190, 542]","[58670, 90128, 1]"
,"[190, 191, 258]","[32266, 13697, 1]"
,"[191, 192, 995]","[39130, 47629, 1]"
,"[192, 193, 567]","[59226, 23716, 1]"
,"[193, 194, 882]","[56029, 85230, 1]"
,"[194, 195, 966]","[48161, 39531, 1]"
,"[195, 196, 12]","[24417, 42414, 1]"
,"[196, 197, 697]","[67397, 86254, 1]"
,"[197, 198, 739]","[55613, 96645, 1]"
,"[198, 199, 118]","[51477, 404, 1]"
,"[199, 200, 699]","[15379, 74720, 1]"
,"[200, 201, 907]","[89941, 95705, 1]"
,"[201, 202, 550]","[34530, 52567, 1]"
,"[202, 203, 769]","[91007, 13477, 1]"
,"[203, 204, 274]","[15830, 55538, 1]"
,"[204, 205, 788]","[64, 70569, 1]"
,"[205, 206, 657]","[15019, 2411, 1]"
,"[206, 207, 349]","[63516, 39038, 1]"
,"[207, 208, 115]","[87405, 44147, 1]"
,"[208, 209, 301]","[20912, 46469, 1]"
,"[209, 210, 446]","[39886, 83798, 1]"
,"[210, 211, 162]","[71526, 52990, 1]"
,"[211, 212, 465]","[15431, 84539, 1]"
,"[212, 213, 4]","[99611, 96728, 1]"
,"[213, 214, 977]","[43242, 5443, 1]"
,"[214, 215, 740]","[69522, 47342, 1]"
,"[215, 216, 897]","[42786, 14554, 1]"
,"[216, 217, 737]","[12108, 6422, 1]"
,"[217, 218, 270]","[82963, 98461, 1]"
,"[218, 219, 996]","[70493, 2332, 1]"
,"[219, 220, 513]","[25517, 1955, 1]"
,"[220, 221, 781]","[52584, 89998, 1]"
,"[221, 222, 183]","[15198, 45445, 1]"
,"[222, 223, 520]","[38742, 62708, 1]"
,"[223, 224, 935]","[12259, 7946, 1]"
,"[224, 225, 109]","[41845, 60676, 1]"
,"[225, 226, 892]","[70409, 60981, 1]"
,"[226, 227, 641]","[7955, 32480, 1]"
,"[227, 228, 306]","[82149, 60502, 1]"
,"[228, 229, 862]","[13700, 26967, 1]"
,"[229, 230, 655]","[98700, 14541, 1]"
,"[230, 231, 520]","[11582, 99856, 1]"
,"[231, 232, 624]","[76789, 40490, 1]"
,"[232, 233, 204]","[83783, 17520, 1]"
,"[233, 234, 157]","[90842, 59765, 1]"
,"[234, 235, 383]","[10100, 5852, 1]"
,"[235, 236, 781]","[8000, 25925, 1]"
,"[236, 237, 166]","[54890, 50517, 1]"
,"[237, 238, 553]","[56501, 1190, 1]"
,"[238, 239, 977]","[56897, 27497, 1]"
,"[239, 240, 798]","[19914, 72822, 1]"
,"[240, 241, 945]","[92132, 98103, 1]"
,"[241, 242, 544]","[61899, 81188, 1]"
,"[242, 243, 941]","[68662, 73077, 1]"
,"[243, 244, 1]","[8545, 99764, 1]"
,"[244, 245, 614]","[46050, 76556, 1]"
,"[245, 246, 332]","[35769, 93345, 1]"
,"[246, 247, 501]","[87995, 44120, 1]"
,"[247, 248, 20]","[56188, 96923, 1]"
,"[248, 249, 115]","[8050, 51681, 1]"
,"[249, 250, 952]","[74986, 83215, 1]"
,"[250, 251, 372]","[44461, 42494, 1]"
,"[251, 252, 900]","[85150, 94022, 1]"
,"[252, 253, 852]","[77579, 74475, 1]"
,"[253, 254, 827]","[14096, 43301, 1]"
,"[254, 255, 315]","[23282, 98701, 1]"
,"[255, 256, 246]","[34898, 23638, 1]"
,"[256, 257, 60]","[62135, 90708, 1]"
,"[257, 258, 247]","[41105, 87258, 1]"
,"[258, 259, 900]","[7714, 79665, 1]"
,"[259, 260, 581]","[4015, 13334, 1]"
,"[260, 261, 970]","[49335, 83612, 1]"
,"[261, 262, 81]","[13659, 44130, 1]"
,"[262, 263, 88]","[25843, 82035, 1]"
,"[263, 264, 750]","[89170, 51281, 1]"
,"[264, 265, 498]","[33594, 36544, 1]"
,"[265, 266, 836]","[29022, 8655, 1]"
,"[266, 267, 71]","[49971, 21514, 1]"
,"[267, 268, 779]","[28983, 1959, 1]"
,"[268, 269, 546]","[3420, 32516, 1]"
,"[269, 270, 785]","[838, 3882, 1]"
,"[270, 271, 129]","[40367, 88382, 1]"
,"[271, 272, 132]","[45991, 85088, 1]"
,"[272, 273, 676]","[22347, 5661, 1]"
,"[273, 274, 487]","[69041, 98790, 1]"
,"[274, 275, 970]","[20817, 26576, 1]"
,"[275, 276, 563]","[40966, 436, 1]"
,"[276, 277, 170]","[81103, 49642, 1]"
,"[277, 278, 272]","[67222, 70088, 1]"
,"[278, 279, 541]","[98115, 67142, 1]"
,"[279, 280, 894]","[89895, 71816, 1]"
,"[280, 281, 622]","[95688, 30179, 1]"
,"[281, 282, 434]","[8741, 11458, 1]"
,"[282, 283, 988]","[37942, 77641, 1]"
,"[283, 284, 217]","[53205, 25958, 1]"
,"[284, 285, 952]","[90309, 66688, 1]"
,"[285, 286, 553]","[53962, 64943, 1]"
,"[286, 287, 774]","[53450, 71017, 1]"
,"[287, 288, 748]","[33485, 34775, 1]"
,"[288, 289, 707]","[35957, 8638, 1]"
,"[289, 290, 206]","[86243, 19711, 1]"
,"[290, 291, 731]","[14726, 78024, 1]"
,"[291, 292, 320]","[8756, 63305, 1]"
,"[292, 293, 409]","[6711, 50080, 1]"
,"[293, 294, 688]","[19372, 18894, 1]"
,"[294, 295, 666]","[81999, 14548, 1]"
,"[295, 296, 383]","[65492, 71117, 1]"
,"[296, 297, 449]","[76564, 40363, 1]"
,"[297, 298, 922]","[16564, 54091, 1]"
,"[298, 299, 530]","[96177, 503, 1]"
,"[299, 300, 463]","[25762, 19802, 1]"
,"[300, 301, 124]","[1897, 925, 1]"
,"[301, 302, 254]","[98937, 94460, 1]"
,"[302, 303, 231]","[27744, 86828, 1]"
,"[303, 304, 66]","[74798, 2824, 1]"
,"[304, 305, 347]","[20905, 81783, 1]"
,"[305, 306, 22]","[14858, 43835, 1]"
,"[306, 307, 603]","[40564, 17882, 1]"
,"[307, 308, 568]","[46107, 79751, 1]"
,"[308, 309, 236]","[40812, 91782, 1]"
,"[309, 310, 603]","[19980, 66438, 1]"
,"[310, 311, 226]","[32469, 76687, 1]"
,"[311, 312, 8]","[91522, 73101, 1]"
,"[312, 313, 73]","[13325, 14440, 1]"
,"[313, 314, 725]","[18661, 15082, 1]"
,"[314, 315, 647]","[4343, 43963, 1]"
,"[315, 316, 61]","[77383, 64597, 1]"
,"[316, 317, 235]","[1736, 11237, 1]"
,"[317, 318, 70]","[24446, 89681, 1]"
,"[318, 319, 928]","[34208, 88442, 1]"
,"[319, 320, 33]","[36786, 19903, 1]"
,"[320, 321, 881]","[92115, 25882, 1]"
,"[321, 322, 339]","[51988, 947, 1]"
,"[322, 323, 73]","[91631, 18628, 1]"
,"[323, 324, 527]","[41818, 54417, 1]"
,"[324, 325, 244]","[64218, 30839, 1]"
,"[325, 326, 286]","[23491, 91410, 1]"
,"[326, 327, 686]","[22107, 78203, 1]"
,"[327, 328, 498]","[16109, 59185, 1]"
,"[328, 329, 220]","[13555, 21511, 1]"
,"[329, 330, 553]","[32711, 95587, 1]"
,"[330, 331, 136]","[24471, 6883, 1]"
,"[331, 332, 741]","[78386, 94325, 1]"
,"[332, 333, 958]","[42371, 43301, 1]"
,"[333, 334, 904]","[40138, 238, 1]"
,"[334, 335, 585]","[81381, 25581, 1]"
,"[335, 336, 591]","[36653, 30055, 1]"
,"[336, 337, 485]","[49399, 93866, 1]"
,"[337, 338, 249]","[66921, 83950, 1]"
,"[338, 339, 804]","[70807, 54639, 1]"
,"[339, 340, 485]","[75085, 13833, 1]"
,"[340, 341, 827]","[36648, 72134, 1]"
,"[341, 342, 417]","[7262, 28170, 1]"
,"[342, 343, 195]","[3624, 51409, 1]"
,"[343, 344, 97]","[53664, 48778, 1]"
,"[344, 345, 100]","[51972, 90049, 1]"
,"[345, 346, 675]","[75765, 26083, 1]"
,"[346, 347, 442]","[2589, 95353, 1]"
,"[347, 348, 363]","[3550, 94947, 1]"
,"[348, 349, 434]","[83081, 79727, 1]"
,"[349, 350, 421]","[5058, 32455, 1]"
,"[350, 351, 479]","[66613, 88336, 1]"
,"[351, 352, 885]","[63041, 41930, 1]"
,"[352, 353, 747]","[84035, 43426, 1]"
,"[353, 354, 56]","[54418, 58891, 1]"
,"[354, 355, 690]","[50391, 10520, 1]"
,"[355, 356, 670]","[30705, 34854, 1]"
,"[356, 357, 662]","[23862, 72932, 1]"
,"[357, 358, 101]","[17118, 30285, 1]"
,"[358, 359, 63]","[25296, 35856, 1]"
,"[359, 360, 413]","[35409, 30846, 1]"
,"[360, 361, 746]","[2749, 91019, 1]"
,"[361, 362, 348]","[32915, 62220, 1]"
,"[362, 363, 820]","[11812, 40362, 1]"
,"[363, 364, 883]","[22554, 63604, 1]"
,"[364, 365, 112]","[17454, 95234, 1]"
,"[365, 366, 255]","[1503, 45457, 1]"
,"[366, 367, 197]","[10591, 96446, 1]"
,"[367, 368, 195]","[25310, 79091, 1]"
,"[368, 369, 550]","[46735, 37370, 1]"
,"[369, 370, 460]","[12829, 38105, 1]"
,"[370, 371, 144]","[74615, 14531, 1]"
,"[371, 372, 433]","[99205, 55736, 1]"
,"[372, 373, 188]","[15381, 84392, 1]"
,"[373, 374, 286]","[95817, 11656, 1]"
,"[374, 375, 474]","[10371, 19623, 1]"
,"[375, 376, 256]","[69210, 33472, 1]"
,"[376, 377, 896]","[19293, 41749, 1]"
,"[377, 378, 946]","[53926, 84119, 1]"
,"[378, 379, 78]","[11789, 78292, 1]"
,"[379, 380, 454]","[51748, 22719, 1]"
,"[380, 381, 828]","[31643, 17637, 1]"
,"[381, 382, 883]","[83272, 52779, 1]"
,"[382, 383, 877]","[97564, 69845, 1]"
,"[383, 384, 564]","[54828, 18679, 1]"
,"[384, 385, 101]","[48163, 11721, 1]"
,"[385, 386, 52]","[25260, 61324, 1]"
,"[386, 387, 668]","[62506, 18702, 1]"
,"[387, 388, 554]","[62122, 51921, 1]"
,"[388, 389, 857]","[87571, 78800, 1]"
,"[389, 390, 16]","[569, 46561, 1]"
,"[390, 391, 993]","[47382, 46850, 1]"
,"[391, 392, 96]","[78728, 1462, 1]"
,"[392, 393, 949]","[67239, 36941, 1]"
,"[393, 394, 772]","[86502, 67816, 1]"
,"[394, 395, 870]","[27040, 14096, 1]"
,"[395, 396, 243]","[1963, 28375, 1]"
,"[396, 397, 171]","[34863, 40600, 1]"
,"[397, 398, 417]","[53719, 77972, 1]"
,"[398, 399, 498]","[34947, 28224, 1]"
,"[399, 400, 493]","[7528, 59069, 1]"
,"[400, 401, 219]","[36977, 77958, 1]"
,"[401, 402, 886]","[65796, 85524, 1]"
,"[402, 403, 411]","[90229, 22810, 1]"
,"[403, 404, 925]","[6192, 79385, 1]"
,"[404, 405, 61]","[62180, 84661, 1]"
,"[405, 406, 169]","[53154, 65844, 1]"
,"[406, 407, 389]","[9754, 19011, 1]"
,"[407, 408, 3]","[61429, 67189, 1]"
,"[408, 409, 400]","[65686, 67678, 1]"
,"[409, 410, 272]","[93156, 81032, 1]"
,"[410, 411, 949]","[47, 98371, 1]"
,"[411, 412, 803]","[8887, 84140, 1]"
,"[412, 413, 804]","[23526, 19263, 1]"
,"[413, 414, 466]","[53150, 81531, 1]"
,"[414, 415, 293]","[74111, 46288, 1]"
,"[415, 416, 434]","[11580, 79680, 1]"
,"[416, 417, 714]","[6677, 55013, 1]"
,"[417, 418, 981]","[22266, 79477, 1]"
,"[418, 419, 749]","[99218, 39884, 1]"
,"[419, 420, 803]","[39627, 18679, 1]"
,"[420, 421, 570]","[3413, 48531, 1]"
,"[421, 422, 678]","[22725, 2883, 1]"
,"[422, 423, 736]","[26340, 4899, 1]"
,"[423, 424, 499]","[55309, 96440, 1]"
,"[424, 425, 159]","[44214, 63744, 1]"
,"[425, 426, 195]","[13386, 19006, 1]"
,"[426, 427, 304]","[73378, 65345, 1]"
,"[427, 428, 223]","[46436, 94181, 1]"
,"[428, 429, 992]","[27190, 28669, 1]"
,"[429, 430, 60]","[87097, 37831, 1]"
,"[430, 431, 594]","[66316, 2618, 1]"
,"[431, 432, 754]","[85249, 73425, 1]"
,"[432, 433, 556]","[2521, 9718, 1]"
,"[433, 434, 63]","[25733, 57326, 1]"
,"[434, 435, 766]","[7374, 40437, 1]"
,"[435, 436, 322]","[73834, 38621, 1]"
,"[436, 437, 59]","[64929, 33914, 1]"
,"[437, 438, 52]","[93782, 16965, 1]"
,"[438, 439, 599]","[15740, 36232, 1]"
,"[439, 440, 489]","[23118, 44105, 1]"
,"[440, 441, 515]","[34410, 96882, 1]"
,"[441, 442, 942]","[90771, 96686, 1]"
,"[442, 443, 874]","[70275, 23799, 1]"
,"[443, 444, 544]","[59461, 12999, 1]"
,"[444, 445, 162]","[73373, 77011, 1]"
,"[445, 446, 59]","[72953, 3989, 1]"
,"[446, 447, 984]","[38572, 41875, 1]"
,"[447, 448, 521]","[60059, 51648, 1]"
,"[448, 449, 83]","[76499, 23487, 1]"
,"[449, 450, 872]","[22219, 74055, 1]"
,"[450, 451, 191]","[55838, 20492, 1]"
,"[451, 452, 71]","[46699, 73617, 1]"
,"[452, 453, 610]","[91719, 38942, 1]"
,"[453, 454, 70]","[99829, 62273, 1]"
,"[454, 455, 692]","[83523, 2435, 1]"
,"[455, 456, 883]","[63056, 89849, 1]"
,"[456, 457, 241]","[20463, 15166, 1]"
,"[457, 458, 414]","[61596, 56022, 1]"
,"[458, 459, 123]","[77929, 83476, 1]"
,"[459, 460, 965]","[88516, 77038, 1]"
,"[460, 461, 912]","[91115, 77617, 1]"
,"[461, 462, 584]","[47659, 81842, 1]"
,"[462, 463, 253]","[7387, 46094, 1]"
,"[463, 464, 593]","[29606, 5993, 1]"
,"[464, 465, 609]","[34370, 35127, 1]"
,"[465, 466, 41]","[29131, 11336, 1]"
,"[466, 467, 635]","[84232, 79968, 1]"
,"[467, 468, 84]","[61354, 39363, 1]"
,"[468, 469, 430]","[7370, 51527, 1]"
,"[469, 470, 674]","[32386, 84554, 1]"
,"[470, 471, 598]","[81241, 47240, 1]"
,"[471, 472, 579]","[81385, 6580, 1]"
,"[472, 473, 536]","[62863, 195, 1]"
,"[473, 474, 324]","[5491, 81830, 1]"
,"[474, 475, 958]","[58253, 37631, 1]"
,"[475, 476, 268]","[8089, 61270, 1]"
,"[476, 477, 210]","[32040, 31395, 1]"
,"[477, 478, 686]","[74521, 63910, 1]"
,"[478, 479, 734]","[28501, 42802, 1]"
,"[479, 480, 322]","[15040, 3226, 1]"
,"[480, 481, 245]","[75978, 958, 1]"
,"[481, 482, 272]","[76082, 26235, 1]"
,"[482, 483, 406]","[87107, 27578, 1]"
,"[483, 484, 135]","[11732, 68260, 1]"
,"[484, 485, 688]","[54705, 90751, 1]"
,"[485, 486, 661]","[67310, 31491, 1]"
,"[486, 487, 308]","[87526, 76317, 1]"
,"[487, 488, 469]","[68627, 89825, 1]"
,"[488, 489, 324]","[42326, 75423, 1]"
,"[489, 490, 952]","[8639, 33454, 1]"
,"[490, 491, 770]","[90597, 50277, 1]"
,"[491, 492, 959]","[81123, 31909, 1]"
,"[492, 493, 75]","[51458, 49329, 1]"
,"[493, 494, 10]","[94409, 93578, 1]"
,"[494, 495, 470]","[51000, 30333, 1]"
,"[495, 496, 637]","[76477, 8781, 1]"
,"[496, 497, 577]","[88826, 71720, 1]"
,"[497, 498, 103]","[75321, 6546, 1]"
,"[498, 499, 76]","[5525, 76354, 1]"
,"[499, 500, 551]","[15414, 65630, 1]"
,"[500, 501, 219]","[91703, 76, 1]"
,"[501, 502, 519]","[62504, 30709, 1]"
,"[502, 503, 272]","[82311, 21015, 1]"
,"[503, 504, 136]","[12412, 68036, 1]"
,"[504, 505, 956]","[77492, 81966, 1]"
,"[505, 506, 358]","[46550, 16248, 1]"
,"[506, 507, 903]","[35648, 84232, 1]"
,"[507, 508, 71]","[8393, 80439, 1]"
,"[508, 509, 901]","[64160, 90667, 1]"
,"[509, 510, 251]","[26849, 36393, 1]"
,"[510, 511, 379]","[68891, 51444, 1]"
,"[511, 512, 292]","[4213, 59227, 1]"
,"[512, 513, 162]","[89578, 11553, 1]"
,"[513, 514, 449]","[59599, 99000, 1]"
,"[514, 515, 854]","[96255, 63805, 1]"
,"[515, 516, 557]","[40998, 38047, 1]"
,"[516, 517, 721]","[47968, 2395, 1]"
,"[517, 518, 310]","[63511, 83527, 1]"
,"[518, 519, 627]","[95526, 47604, 1]"
,"[519, 520, 827]","[93166, 51841, 1]"
,"[520, 521, 670]","[65958, 86267, 1]"
,"[521, 522, 542]","[55999, 71908, 1]"
,"[522, 523, 9]","[3478, 38638, 1]"
,"[523, 524, 684]","[64229, 65048, 1]"
,"[524, 525, 837]","[91452, 75048, 1]"
,"[525, 526, 568]","[6990, 93587, 1]"
,"[526, 527, 307]","[7554, 11355, 1]"
,"[527, 528, 955]","[82577, 24908, 1]"
,"[528, 529, 680]","[73407, 91058, 1]"
,"[529, 530, 107]","[69873, 47564, 1]"
,"[530, 531, 962]","[75545, 58269, 1]"
,"[531, 532, 900]","[88078, 70906, 1]"
,"[532, 533, 138]","[60399, 9382, 1]"
,"[533, 534, 271]","[75829, 11851, 1]"
,"[534, 535, 119]","[32762, 81617, 1]"
,"[535, 536, 912]","[24536, 8421, 1]"
,"[536, 537, 110]","[15414, 63940, 1]"
,"[537, 538, 761]","[7213, 97196, 1]"
,"[538, 539, 567]","[42655, 76142, 1]"
,"[539, 540, 160]","[38483, 51017, 1]"
,"[540, 541, 279]","[49335, 77293, 1]"
,"[541, 542, 289]","[51111, 13971, 1]"
,"[542, 543, 620]","[33885, 88055, 1]"
,"[543, 544, 216]","[62149, 75895, 1]"
,"[544, 545, 735]","[59776, 87716, 1]"
,"[545, 546, 352]","[74151, 26050, 1]"
,"[546, 547, 209]","[66836, 76132, 1]"
,"[547, 548, 704]","[18175, 51296, 1]"
,"[548, 549, 650]","[78108, 34954, 1]"
,"[549, 550, 874]","[68775, 12109, 1]"
,"[550, 551, 271]","[29624, 87407, 1]"
,"[551, 552, 518]","[32420, 95878, 1]"
,"[552, 553, 501]","[49007, 16879, 1]"
,"[553, 554, 258]","[77282, 87433, 1]"
,"[554, 555, 928]","[46556, 96681, 1]"
,"[555, 556, 930]","[36528, 82758, 1]"
,"[556, 557, 867]","[7553, 82836, 1]"
,"[557, 558, 53]","[86707, 3845, 1]"
,"[558, 559, 95]","[45817, 97805, 1]"
